worker_id,w_name,Year_of_starting_work,role
183,Rachel,2024,Vineyard Manager
199,Mona,1998,Harvester
209,Mona,2020,Planter
513,Rachel,2015,Planter
955,Nancy,2006,Planter
453,Julia,1992,Planter
966,Nancy,2011,Planter
489,Alice,2017,Planter
253,Peter,2000,Harvester
148,Eve,2005,Planter
724,Quinn,1992,Planter
432,David,1992,Harvester
817,Rachel,1994,Harvester
605,Hannah,2018,Planter
291,Rachel,1993,Planter
903,Nancy,2021,Harvester
887,Oscar,2023,Harvester
149,Liam,1999,Planter
400,Bob,2023,Harvester
298,Isaac,1999,Planter
804,Oscar,2002,Planter
594,Bob,1999,Planter
408,Oscar,1994,Harvester
488,Tina,2011,Planter
255,Mona,2022,Planter
558,Rachel,1991,Harvester
940,Isaac,1998,Planter
444,Tina,2013,Harvester
367,Quinn,2021,Planter
630,David,2009,Harvester
907,Oscar,2015,Harvester
655,Rachel,2017,Planter
690,Tina,1999,Planter
137,Liam,2006,Harvester
261,Nancy,2016,Planter
728,Julia,1998,Planter
900,Oscar,2020,Planter
549,Kevin,2014,Planter
355,Peter,2024,Planter
806,Oscar,2013,Harvester
939,Tina,2011,Harvester
317,Julia,2003,Harvester
326,Kevin,1994,Planter
575,Steve,2020,Harvester
616,Bob,1994,Harvester
220,Nancy,2019,Planter
167,Isaac,1995,Planter
383,David,2001,Harvester
224,Bob,2022,Harvester
171,Isaac,1992,Planter
998,Eve,1993,Harvester
136,Mona,1995,Planter
784,Eve,2002,Harvester
886,Eve,2016,Harvester
593,Liam,1998,Planter
815,Eve,1990,Planter
308,Isaac,2020,Harvester
932,Alice,2015,Harvester
948,Peter,2009,Harvester
656,Oscar,2017,Harvester
501,Mona,2014,Harvester
196,Hannah,2013,Harvester
893,Julia,2013,Harvester
882,David,2024,Planter
430,Mona,2012,Planter
156,Eve,2010,Planter
910,Rachel,1999,Harvester
667,Eve,2012,Planter
333,Julia,1990,Harvester
132,Rachel,2016,Harvester
839,Liam,1998,Harvester
771,Nancy,2022,Planter
470,David,2022,Harvester
854,David,1992,Planter
641,Quinn,1994,Harvester
786,Liam,2014,Planter
862,Quinn,2018,Planter
268,Quinn,2024,Harvester
746,Quinn,2019,Planter
555,Eve,2004,Planter
307,Rachel,1994,Harvester
332,David,1993,Harvester
908,Liam,2018,Planter
587,Bob,1991,Harvester
780,Kevin,2023,Planter
349,Isaac,2000,Harvester
483,Mona,2022,Harvester
325,Eve,2018,Planter
782,Eve,1993,Planter
536,Grace,1990,Planter
686,David,2007,Harvester
519,Frank,1996,Planter
305,Liam,1999,Planter
950,Quinn,2004,Harvester
935,Bob,2022,Harvester
763,Hannah,2010,Planter
295,Charlie,2021,Harvester
258,Frank,2009,Harvester
936,Frank,2023,Harvester
457,Nancy,2024,Planter
846,David,2024,Harvester
203,Mona,2008,Planter
872,Grace,1995,Planter
787,Oscar,2018,Planter
540,Nancy,1998,Planter
556,Hannah,2006,Planter
951,Peter,1998,Harvester
534,Rachel,2015,Harvester
809,Frank,2010,Harvester
341,Kevin,2014,Harvester
741,Quinn,2016,Planter
835,Quinn,2022,Planter
692,Isaac,1991,Planter
999,Kevin,2004,Harvester
761,Kevin,2006,Harvester
226,Peter,2004,Planter
652,Nancy,1998,Harvester
300,Isaac,2011,Planter
463,Mona,2007,Harvester
324,Alice,2021,Harvester
779,Hannah,2011,Harvester
866,Eve,2011,Harvester
304,Liam,1994,Harvester
618,Kevin,2014,Harvester
581,Eve,1999,Planter
495,Oscar,2016,Harvester
822,Eve,1990,Harvester
963,Isaac,2013,Planter
392,Isaac,1990,Planter
507,Kevin,2006,Planter
163,Isaac,1991,Harvester
318,Bob,1995,Harvester
191,Eve,2021,Harvester
461,Liam,2021,Planter
114,Grace,1996,Harvester
803,Kevin,2006,Harvester
666,Tina,1999,Harvester
431,Oscar,2021,Planter
742,Bob,2024,Harvester
588,Isaac,2013,Harvester
921,Bob,2013,Harvester
234,Liam,2021,Planter
783,Frank,2004,Harvester
856,Alice,2012,Harvester
228,Mona,2006,Harvester
388,Charlie,2020,Harvester
352,Tina,1994,Harvester
747,Bob,2019,Planter
386,Isaac,2009,Planter
930,Oscar,2003,Harvester
238,Grace,2015,Harvester
765,David,2001,Harvester
813,Oscar,1991,Harvester
279,Charlie,2008,Planter
412,Alice,2010,Harvester
884,Kevin,2016,Planter
943,Hannah,2009,Harvester
961,Julia,1990,Planter
874,Bob,2011,Harvester
678,Nancy,2018,Planter
933,Mona,2021,Harvester
532,Julia,2024,Planter
768,Hannah,1998,Harvester
762,Charlie,1994,Planter
429,Frank,2002,Harvester
642,Eve,2016,Planter
143,Liam,2005,Harvester
251,Julia,1999,Planter
991,Julia,1999,Planter
527,David,1992,Planter
151,Bob,1993,Planter
633,Grace,2015,Planter
319,Rachel,2012,Harvester
315,Liam,2014,Harvester
311,Eve,2020,Harvester
721,Kevin,2017,Harvester
256,Peter,2018,Planter
222,Julia,1992,Harvester
484,Mona,2022,Harvester
543,Hannah,2000,Harvester
335,Isaac,2007,Harvester
271,Isaac,2007,Planter
926,Rachel,1995,Planter
